num_nodes,trial_idx,random_state,num_edges,network_density,area_size,clustering_coefficient,algebraic_connectivity,avg_path_length,modularity,x_A,y_A,x_B,y_B,x_out,y_out,dist_AB,dist_A_out,dist_B_out,dist_avg_input_to_out,voltage,duration,delay,score,default_tau_v,default_tau_w,default_a,default_b,default_v_scale,default_R_off,default_R_on,default_alpha,tuned_tau_v,tuned_tau_w,tuned_a,tuned_b,tuned_v_scale,tuned_R_off,tuned_R_on,tuned_alpha,tuned_score,score_improvement,opt_min_score,opt_max_score,opt_mean_score,opt_std_score,opt_n_calls,trial_duration_seconds,success,error_message
20,4,57027,19,0.1,20.0,0.4833333333333333,0.7639320225002114,1.5333333333333334,0.6759002770083101,4.6182545418466345,13.59747666712697,13.642641403425532,14.524634515558645,0.6270110188546325,3.5017466473680985,9.07188954426509,10.85604852106355,17.056104222901183,13.956076371982366,1.5172355353882394,2734.284400187256,79.20373802264243,3.154809746774845e-12,50.0,800.0,0.7,0.8,5.0,100.0,10.0,0.01,57.780509514812636,453.4789147844192,0.6184136066521917,0.8057645783292311,4.273659772913286,99.25714593495711,7.504822819957357,0.002067345136088356,1.3070631244005426e-09,1.3039083146537678e-09,-1000.0,3.154809746774845e-12,-117.56768301686681,320.69709027695205,60,47.42450928688049,True,
20,1,24744,28,0.14736842105263157,20.0,0.5683333333333334,0.26177411395240063,2.4,0.6058673469387755,7.291324412579112,1.3955944628273278,9.307109121696627,1.2414227790962968,9.451638033911511,14.53995734550321,2.0216718085724117,13.320706833121946,13.299319915709432,13.31001337441569,2.181863164106686,55.8300898771647,-23.94136170916326,1.099384583369556e-09,50.0,800.0,0.7,0.8,5.0,100.0,10.0,0.01,76.84110149151795,555.1418752589043,0.636222070474271,0.8750244751488463,2.376800766307565,202.27184099239855,11.999058834307679,0.014358450530843482,5.866989116753984e-10,-5.126856716941575e-10,-1000.0,1.099384583369556e-09,-134.79263414588547,339.3648267265074,60,59.050853967666626,True,
20,5,31471,32,0.16842105263157894,20.0,0.577857142857143,0.1488791132264039,2.981818181818182,0.53271484375,19.298374411084996,6.21187723680796,19.52330214964518,14.984646631537217,1.4610215955181014,18.617897928560772,8.775652416810509,21.727413671930933,18.424073756998492,20.075743714464714,1.7436986029144212,2728.279365638916,-8.604275265421222,0.003142661593533047,50.0,800.0,0.7,0.8,5.0,100.0,10.0,0.01,55.77272378333191,707.8379456467349,0.6974829132218899,0.8756683918881746,5.38371898729695,250.0,15.300154416399323,0.011833165241143747,0.05087919634440069,0.04773653475086764,-1000.0,0.003142661593533047,-117.90794233222718,320.57415479099467,60,70.32857322692871,True,
20,0,20541,34,0.17894736842105263,20.0,0.5166666666666667,0.3390802392040021,2.4380952380952383,0.4052768166089965,6.255442064778505,12.782968665985535,10.170829386737921,16.55974598449678,9.486267042713866,3.4951158687683694,5.440064778528056,9.833739859322382,13.082552719697077,11.45814628950973,1.4179969604639553,753.5217720703743,143.0467682466196,1.1974754521304476e-10,50.0,800.0,0.7,0.8,5.0,100.0,10.0,0.01,100.0,870.4211665339828,0.6254100586490264,0.8146425700086928,8.0,133.2186318436311,20.93182944107747,0.001,1.8208679009035222e-10,6.233924487730746e-11,-1000.0,1.1974754521304476e-10,-101.06083659118543,299.64897997638883,60,80.9310188293457,True,
20,3,42588,32,0.16842105263157894,20.0,0.6416666666666668,0.3652236547711678,2.1538461538461537,0.47412109375,1.5013286975787887,9.58312775733291,8.913528047108821,4.19760912733409,19.24362744780735,7.373757796794803,9.16212366819166,17.879331099481604,10.807352774793147,14.343341937137374,1.260963732745045,1737.364240200606,1.4011607792357381,5.10702591327572e-15,50.0,800.0,0.7,0.8,5.0,100.0,10.0,0.01,69.69359359104259,633.550452563527,0.7286862546311096,0.8759664685565345,3.633544591176372,243.34834280199217,5.159242452678733,0.012819459856547491,0.05887166665921928,0.05887166665921417,-1000.0,5.10702591327572e-15,-51.182891615130096,217.67735159612167,60,84.79764819145203,True,
20,6,39742,26,0.1368421052631579,20.0,0.5666666666666667,0.10662260253136288,3.3916666666666666,0.6176035502958581,16.979779628502854,2.6608474724085656,13.652209236927744,0.7042456208397502,4.01639231546158,15.188727838347953,3.860183352698398,18.02767863844952,17.39681559519802,17.712247116823768,1.29920821030119,4348.841980125962,99.5277566383487,0.0003590596325701023,50.0,800.0,0.7,0.8,5.0,100.0,10.0,0.01,64.47174869144078,947.2356985341813,0.6127146459003537,0.9085645646820011,6.292503378477078,154.2641189369109,16.096560349005095,0.00838612792305659,0.0038527956167840882,0.003493735984213986,-1000.0,0.0003590596325701023,-51.03236701237319,217.71199863980286,60,70.55212211608887,True,
20,7,64586,25,0.13157894736842105,20.0,0.3283333333333333,0.41433182024177384,2.282051282051282,0.4448,5.438062498655435,18.072017128728223,15.450204425069149,15.757164204795739,18.80118680963423,11.48750203726603,10.276260507309559,14.897279293225523,5.427623602139336,10.162451447682429,0.7656787760075763,958.1792850494508,162.26310964127305,1.5513457185534207e-10,50.0,800.0,0.7,0.8,5.0,100.0,10.0,0.01,40.0,414.24294499879073,0.6280512301929692,0.8892242113501835,5.348945899669931,80.0,30.0,0.005162939780497042,1.1821099654696354e-10,-3.692357530837853e-11,-1000.0,1.5513457185534207e-10,-68.14412729394115,249.0530043363237,60,59.33604407310486,True,
20,2,89080,48,0.25263157894736843,20.0,0.5779040404040404,0.27900530170634025,1.9714285714285715,0.22808159722222227,3.954702828520608,9.319460174317713,14.771974033502017,5.1386648455132615,17.59035098900497,8.448067327466491,11.597086095372108,13.663463186544767,4.346883188086413,9.00517318731559,2.6734314328904745,4672.191092370014,-62.60886991281717,4.347677773353098e-11,50.0,800.0,0.7,0.8,5.0,100.0,10.0,0.01,82.15910136002316,1200.0,0.6149850924828089,0.8198782045992237,4.026491986094525,195.4668478029219,18.80567348099094,0.00910750452224766,1.8258068390508697e-09,1.7823300613173387e-09,-1000.0,4.347677773353098e-11,-134.39970930421455,339.519893984378,60,132.18774509429932,True,
20,8,33381,22,0.11578947368421053,20.0,0.425,0.1510218806030256,2.909090909090909,0.6146694214876033,10.074506859674077,19.259336867289207,15.09544508586256,18.655348380711764,7.287602913898512,12.207479147322717,5.057135826050043,7.582580754969274,10.126076092602965,8.85432842378612,1.4790972420205377,344.8778899557642,-147.75416127859978,0.004062068614861025,50.0,800.0,0.7,0.8,5.0,100.0,10.0,0.01,91.70544291730324,1160.3970144953864,0.6501332341559709,0.7614386830534247,1.8171038298942621,167.3893002323781,24.86675376348567,0.010220486931863875,0.1345046083085507,0.13044253969368969,-1000.0,0.004062068614861025,-67.56808920139824,249.20506394845648,60,71.81286001205444,True,
20,9,6175,23,0.12105263157894737,20.0,0.4333333333333334,0.2955119204078992,2.2857142857142856,0.6200378071833648,18.935850207929953,3.900828722561101,9.339375425418389,4.756417301682141,11.47498322987926,15.81265992782183,9.634539951035686,14.055470775708317,11.26060929535087,12.658040035529593,3.997495904344479,1341.7982842402553,-70.67444703733685,4.3255070636405435e-09,50.0,800.0,0.7,0.8,5.0,100.0,10.0,0.01,77.71434217490373,575.2975118815743,0.6,0.7522345265575072,6.923485869694738,222.32593629087813,13.707158888908891,0.0020435128970385614,1.887354605933922e-08,1.4548038995698676e-08,-1000.0,4.3255070636405435e-09,-51.28587619360187,217.65370195284694,60,62.37634897232056,True,
40,0,85088,116,0.14871794871794872,20.0,0.6092658730158732,0.09603390010893466,3.5743589743589745,0.5589328180737217,14.519412611493106,1.1412028438263015,18.408940821655076,3.621288766044975,16.27559437111984,14.9315525711435,4.612944382846277,13.901723633224881,11.509701751954003,12.705712692589442,0.5124081644582804,3157.7455379339244,-172.3926958420109,0.017994500910712752,50.0,800.0,0.7,0.8,5.0,100.0,10.0,0.01,40.0,1200.0,0.6,0.8286774914498589,2.741565830191603,102.72797545736852,30.0,0.015,2.1722570051031553,2.1542625041924426,-1000.0,0.017994500910712752,-83.73855848643305,276.26473877607594,60,311.89134788513184,True,
40,4,31156,109,0.13974358974358975,20.0,0.657638888888889,0.4880689196229593,2.52183908045977,0.47958926016328596,0.0,10.357387042193455,20.0,0.0,0.0,20.0,22.522776612615882,9.642612957806545,28.284271247461902,18.963442102634225,4.0,3516.143565657778,198.79217479867117,7.8026474170656e-13,50.0,800.0,0.7,0.8,5.0,100.0,10.0,0.01,68.19902360524863,1028.30342895287,0.6425576737625707,0.8701522611659144,3.130606848289362,148.22436782636345,13.165274769844231,0.001,4.0160497150054653e-10,4.0082470675883997e-10,-1000.0,7.8026474170656e-13,-84.4538505187679,276.05063381614326,60,301.97249698638916,True,
40,1,83109,111,0.1423076923076923,20.0,0.6149801587301589,0.10774872311958542,3.8833333333333333,0.60648486324162,0.0,0.0,3.2584476805432896,20.0,15.685283737963205,20.0,20.263698608270847,25.417083348417712,12.426836057419916,18.921959702918812,4.0,5000.0,-200.0,0.003087064063683753,50.0,800.0,0.7,0.8,5.0,100.0,10.0,0.01,41.59679159594373,1200.0,0.6194639480697046,0.8313452262086262,8.0,246.84829229397883,23.570013619496038,0.015,0.003061358177115281,-2.570588656847228e-05,-1000.0,0.003087064063683753,-17.489115837346905,127.91938305527806,60,420.72764682769775,True,
40,2,66915,146,0.18717948717948718,20.0,0.6132070707070705,0.27681015625867533,2.8879892037786776,0.4662225558266091,12.850787174335327,6.181032470250885,9.883569683884994,0.0,2.3416295234108366,2.516386122340491,6.856350489431687,11.129781102395398,7.950664154703102,9.54022262854925,0.5,4609.339385380497,-122.73684948953158,0.01286156132589733,50.0,800.0,0.7,0.8,5.0,100.0,10.0,0.01,45.6954021052207,1135.6575869426229,0.6114641698178039,0.7876737480056422,3.216721455399511,169.45571595415055,10.379017139146438,0.005335667098304513,0.0316273292202367,0.01876576789433937,-1000.0,0.01286156132589733,-66.98736090371557,249.35880274773163,60,561.8400118350983,True,
